Time,Sample,Plot,Device,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error
31/05/2022  14:13:58,169,K,0,9.7, ,5.8, ,       ,O,5.5, ,0.3, ,29.2, 
2/6/2022 11:19,170,B,0,12.9, ,16.3, ,       ,L,35.2, ,39, ,38.5, 
2/6/2022 11:22,171,C,0,9.4, ,8.9, ,4.4, ,25.5, ,23.9, ,30.1, 
2/6/2022 11:28,172,D,0,17.3, ,21.9, ,2.2, ,28, ,36.6, ,37, 
2/6/2022 11:41,173,S,0,17.2, ,18, ,0.2, ,8.9, ,17.4, ,26.2, 
2/6/2022 11:48,174,T,0,2.3, ,9.2, ,       ,L,15, ,14.9, ,19.1, 
2/6/2022 11:59,175,A,0,14.5, ,6, ,7.5, ,14.6, ,17.1, ,31.8, 
2/6/2022 12:10,176,R,0,19.2, ,17.5, ,2.9, ,15.4, ,16.2, ,32.7, 
2/6/2022 12:26,177,E,0,13, ,26, ,18.3, ,41.6, ,48.2, ,44.7, 
2/6/2022 12:31,178,F,0,32.2, ,23.3, ,11.9, ,33.1, ,45.4, ,26.1, 
2/6/2022 12:41,179,F,0,21.3, ,27, ,13.7, ,18.8, ,26.2, ,19, 
2/6/2022 12:44,180,G,0,21.1, ,27.4, ,13.4, ,17.4, ,25.4, ,17, 
2/6/2022 12:50,181,H,0,23, ,13.6, ,       ,L,7.8, ,24.4, ,37, 
2/6/2022 13:09,182,Q,0,10.9, ,11.9, ,4.5, ,18.1, ,10, ,17.1, 
2/6/2022 13:14,183,P,0,15.5, ,10.8, ,       ,L,6.6, ,4.7, ,17.8, 
2/6/2022 13:18,184,O,0,8.2, ,8.1, ,       ,O,       ,L,4.3, ,8.8, 
2/6/2022 13:24,185,N,0,13.3, ,6, ,       ,O,1.2, ,6.6, ,18.4, 
2/6/2022 13:44,186,M,0,7.9, ,8.8, ,       ,L,3.7, ,3.5, ,17.8, 
2/6/2022 13:51,187,L,0,14.6, ,3.4, ,0.3, ,17.4, ,22.5, ,23.9, 
2/6/2022 13:59,188,I,0,9.1, ,11.7, ,       ,L,5.7, ,12.8, ,20.8, 
2/6/2022 14:05,189,J,0,3.4, ,6.9, ,       ,L,1.8, ,4.4, ,11.4, 
2/6/2022 14:16,190,K,0,7.2, ,3.9, ,       ,L,5.3, ,6.4, ,31.4, 
8/6/2022 15:47,191,B,0,24.2, ,28.4, ,19.1, ,40.1, ,44, ,36.3, 
8/6/2022 15:51,192,C,0,14.1, ,12.6, ,8.1, ,28.4, ,31.1, ,29.8, 
8/6/2022 15:56,193,D,0,28.3, ,29.1, ,3.5, ,31.5, ,39.8, ,36.5, 
8/6/2022 16:03,194,S,0,20.6, ,21.1, ,1.1, ,9.2, ,17.6, ,25.7, 
8/6/2022 16:12,195,T,0,4.9, ,14, ,1.7, ,14.7, ,10.6, ,17.8, 
8/6/2022 16:19,196,A,0,17.7, ,7.1, ,11.9, ,19.8, ,49.2, ,32.3, 
8/6/2022 16:28,197,R,0,23.4, ,19.6, ,3.9, ,17.6, ,20.7, ,53.2, 
8/6/2022 16:32,198,E,0,13.7, ,28.7, ,19.2, ,43.6, ,48, ,43.6, 
8/6/2022 16:38,199,F,0,34, ,23.7, ,9, ,34.4, ,49.1, ,37.9, 
8/6/2022 16:45,200,G,0,23.9, ,29.1, ,15.5, ,29.8, ,31.7, ,40.2, 
8/6/2022 16:48,201,H,0,27.6, ,14.1, ,       ,L,8.7, ,27, ,38.7, 
8/6/2022 17:03,202,Q,0,16.1, ,12.7, ,3.5, ,19.4, ,15, ,18.4, 
8/6/2022 17:07,203,P,0,17.5, ,10.8, ,       ,L,6.9, ,4.9, ,18.5, 
8/6/2022 17:14,204,O,0,4.6, ,5.6, ,       ,L,2.1, ,1.2, ,6.8, 
8/6/2022 17:19,205,N,0,20, ,10.7, ,       ,O,3.9, ,13.7, ,28, 
8/6/2022 17:24,206,M,0,11.6, ,8.8, ,       ,L,4.6, ,5.9, ,23, 
8/6/2022 17:31,207,L,0,14.3, ,4.2, ,0.4, ,17.8, ,25.5, ,47.1, 
8/6/2022 17:43,208,I,0,10.2, ,12.2, ,       ,L,6.7, ,13.6, ,23.6, 
8/6/2022 17:52,209,J,0,4.5, ,7.4, ,       ,L,2.7, ,6.3, ,12.6, 
8/6/2022 18:03,210,K,0,5.7, ,5.2, ,       ,L,4.4, ,5.3, ,32.5, 
9/6/2022 9:37,211,B,0,22.5, ,21.7, ,1.8, ,41.4, ,48.2, ,39.8, 
9/6/2022 9:46,212,C,0,13.9, ,11, ,5.1, ,30.4, ,31.5, ,31.1, 
9/6/2022 9:54,213,D,0,27.1, ,29.2, ,3.5, ,32.1, ,40.1, ,38.6, 
9/6/2022 10:03,214,S,0,19.4, ,14.4, ,       ,L,9.5, ,20.8, ,29.2, 
9/6/2022 10:12,215,T,0,3.9, ,8.8, ,       ,L,17, ,14.2, ,19.4, 
9/6/2022 10:21,216,A,0,17.3, ,7.5, ,11.3, ,17.3, ,47.6, ,33.5, 
9/6/2022 10:32,217,R,0,23.7, ,21.6, ,2.1, ,15, ,20, ,57.6, 
9/6/2022 10:40,218,E,0,16, ,24.9, ,19.2, ,43.3, ,47.9, ,47.4, 
9/6/2022 10:46,219,F,0,33.5, ,23.8, ,8, ,34.2, ,50.7, ,42.8, 
9/6/2022 10:55,220,G,0,23.8, ,28.9, ,16, ,30.2, ,30.2, ,43.5, 
9/6/2022 11:01,221,H,0,27.1, ,16.2, ,0.9, ,10.7, ,29.3, ,41.3, 
9/6/2022 11:50,222,Q,0,13.3, ,8.6, ,       ,L,17.6, ,11.1, ,21.9, 
9/6/2022 11:55,223,P,0,15.5, ,10.6, ,       ,L,6.5, ,4.5, ,17.8, 
